Fileme,X,Rep,SB,GC,Day,Entry,Plant,Rep_SB_Day_Entry_Plant,Name,Country,Region,MG,Diversity,Stem,Cluster,Seed_weight,Shoot_weight,Root_weight,TRL,PRL,SRL,MSL,SRL_LRB,SL_PL,MED,MAX,LED,PER,DIA,VOL,PRA,TRLUpper,TRLLower,CVA,DEP,WID,WDR,NWA,RHZO,LRB,NLR,IRB,Area,TRAUpper,TRALower,SOL,BSH,CM,CMT,CMM,CMB,CP,CPT,CPM,CPB,Median_angle,Mean_angle
KGF_Rep1_SB2_Day6_172_1,Rep1_SB2_172_1,1,2,2,6,172,1,1_2_6_172_1,PI458506,China,Liaoning,2,Landrace,D,4,,,,65.27136148,13.35908077,51.9122807,1.854010025,1.30542723,2.095952594,,11,0.12427062,94.90407018,0.119691406,90.21321656,9.360959827,6.912280702,55.62280702,53.29228224,11.25438596,8.833333333,0.78487919,0.55663281,1070.23136,50,42,42,6.914646814,1.264004309,5.504309018,0.0104,3.67,0.521806657,0.257492435,0.541200714,0.799529458,0.584121274,0.236073998,0.52028777,0.863636364,90,37.70833333
KGF_Rep1_SB2_Day6_172_2,Rep1_SB2_172_2,1,2,2,6,172,2,1_2_6_172_2,PI458506,China,Liaoning,2,Landrace,D,4,,,,63.3870345,16.85194678,46.53508772,,,0.771424226,,8,1.441795231,101.6435,0.111763288,67.51916201,8.740908646,36.07017544,25.01754386,87.04001231,15.6754386,10.19298246,0.650251819,0.546860572,1116.535088,12,23,24,6.496258464,3.643505694,2.675284703,0.0063,2.67,0.504681086,0.179618234,0.51852797,0.998971722,0.385525015,0.21311054,0.436332476,0.998971722,90,19.45833333
KGF_Rep2_SB4_Day6_172_1,Rep2_SB4_172_1,2,4,2,6,172,1,2_4_6_172_1,PI458506,China,Liaoning,2,Landrace,D,4,,,,101.1737731,22.51357892,78.66019417,1.872861766,2.023475462,1.865540799,1,12,3.474747475,144.1628835,0.175982174,98.77294341,11.52963615,76.81553398,22.10679612,75.21755114,20.41747573,6.796116505,0.332857822,0.966160807,1708.106796,50,67,69,6.422989914,4.553398058,1.73032331,0.0128,12,0.21506922,0.19318577,0.402836677,0.999311295,0.384319384,0.183884298,0.444938899,0.999311295,90,67.625
KGF_Rep2_SB4_Day6_172_2,Rep2_SB4_172_2,2,4,2,6,172,2,2_4_6_172_2,PI458506,China,Liaoning,2,Landrace,D,4,,,,77.87044648,22.47238823,55.39805825,1.259046778,1.769782875,1.957958342,1,8,2.010030864,139.9646311,0.154995813,55.88860461,10.14051266,50.58252427,25.16504854,65.23451786,20.52427184,6.194174757,0.30179754,0.740032048,1353.247573,44,52,57,5.303044585,3.220567443,1.969082854,0.0113,8,0.229643111,0.183584178,0.421114837,0.999540652,0.361339625,0.190580954,0.469931863,0.999540652,90,59.75
KGF_Rep3_SB5_Day6_172_1,Rep3_SB5_172_1,3,5,1,6,172,1,3_5_6_172_1,PI458506,China,Liaoning,2,Landrace,D,4,,,,53.96335137,20.09335137,33.87,1.302692308,2.075513514,1.293960352,1,5,1.065173116,83.34639,0.139780942,84.04812782,12.02790163,26.15,24.55,50.3398,18.87,5.11,0.270800212,0.5271,870.795,26,30,32,5.7785875,3.0275,2.4603,0.0105,5,0.275042408,0.253563656,0.368779479,0.999046711,0.376549094,0.230457579,0.3919379,0.999285033,90,40.83333333
KGF_Rep3_SB5_Day6_172_2,Rep3_SB5_172_2,3,5,1,6,172,2,3_5_6_172_2,PI458506,China,Liaoning,2,Landrace,D,4,,,,49.3635238,17.4835238,31.88,1.2752,1.898597069,1.429917692,1,6,1.329094608,78.15486,0.109839357,59.46492969,9.451481498,26.13,19.66,46.1865,16.31,5.45,0.334150828,0.4828,794.8475,26,32,34,4.91165,2.6126,1.9868,0.0105,6,0.253174417,0.232053026,0.382944734,0.998942359,0.391517715,0.221282096,0.41417995,0.998942359,90,35.75
KGF_Rep4_SB7_Day6_172_1,Rep4_SB7_172_1,4,7,1,6,172,1,4_7_6_172_1,PI458506,China,Liaoning,2,Landrace,D,4,,,,69.38357198,23.0566489,46.32692308,1.494416873,2.668598922,1.344514553,1,5,3.589378238,122.0664231,0.121085403,89.59152162,12.64101829,53.28846154,14.84615385,81.76936945,21.78846154,7.038461538,0.323036187,0.655140533,1175.638221,26,34,34,6.857965052,4.952385355,1.849112426,0.008,5,0.129954323,0.127927712,0.35856517,0.999412111,0.257908062,0.188882106,0.361699001,0.999559083,90,44.5
KGF_Rep4_SB7_Day6_172_2,Rep4_SB7_172_2,4,7,1,6,172,2,4_7_6_172_2,PI458506,China,Liaoning,2,Landrace,D,4,,,,75.23231351,23.54000582,51.69230769,1.566433566,2.507743784,1.401868812,1,8,3.147925764,119.8067788,0.128761574,101.0426065,13.44239164,55.45192308,17.61538462,71.31407175,21.34615385,6.278846154,0.294144144,0.702570266,1252.711538,30,44,46,7.286727996,5.303994083,1.917806953,0.0099,8,0.209802342,0.196204542,0.377930209,0.99969997,0.349548591,0.216724797,0.404530453,0.999774977,90,48.08333333
KGF_Rep5_SB10_Day6_172_1,Rep5_SB10_172_1,5,10,2,6,172,1,5_10_6_172_1,PI458506,China,Liaoning,2,Landrace,D,4,,,,88.15492146,24.05876761,64.09615385,1.363747954,1.836560864,1.953549773,1,8,3.413843888,126.5234615,0.145057899,56.23170558,10.18781087,66.86538462,19.58653846,80.30260725,22.28846154,7.067307692,0.317083693,0.831268491,1346.521635,48,76,64,6.443058894,4.503235947,1.868713018,0.0104,8,0.181480906,0.161186437,0.433632745,0.724774096,0.35418574,0.211011749,0.459454702,0.842728055,90,76.83333333
KGF_Rep5_SB10_Day6_172_2,Rep5_SB10_172_2,5,10,2,6,172,2,5_10_6_172_2,PI458506,China,Liaoning,2,Landrace,D,4,,,,87.39782508,26.78244047,60.61538462,1.0273794,1.506859053,2.202935915,1,7,1.776836158,135.3471538,0.169549274,72.77720421,13.08077156,54.43269231,30.63461538,57.59148484,24.49038462,3.826923077,0.156262269,0.818971893,1269.84976,58,92,87,6.826784393,4.021819527,2.727718195,0.0142,7,0.243310899,0.183992821,0.437739916,0.89562829,0.339200686,0.171821263,0.492202933,0.944552529,90,85.45833333
KGF_Rep6_SB11_Day6_172_2,Rep6_SB11_172_2,6,11,1,6,172,2,6_11_6_172_2,PI458506,China,Liaoning,2,Landrace,D,4,,,,20.12344168,14.23058454,5.892857143,,2.012344168,0.913525369,1,1,0.997098646,36.99528571,0.126230291,23.00783347,5.293423336,9.205357143,9.232142857,14.29217156,13.35714286,2.241071429,0.167780749,0.171795281,363.28125,10,12,14,1.816545759,0.944435587,0.795838648,0.012,1,0.207715997,0.204521123,0.335834897,1,0.288112763,0.219057365,0.335834897,1,66,13.91666667
KGF_Rep6_SB11_Day6_172_2_2,Rep6_SB11_172_2,6,11,1,6,172,2,6_11_6_172_2,PI458506,China,Liaoning,2,Landrace,D,4,,,,19.96528421,14.67064136,5.294642857,,1.663773684,1.090613533,1,1,1.109631148,36.15029464,0.154294972,33.15715126,6.344794985,9.669642857,8.714285714,14.70683195,13.07142857,3.616071429,0.276639344,0.164142219,341.8895089,12,15,16,2.103146923,1.150111607,0.93885523,0.0112,1,0.146291199,0.144851425,0,0.998637602,0.213981608,0.161671208,0,0.998637602,66,13.91666667
KGF_Rep7_SB13_Day6_172_1,Rep7_SB13_172_1,7,13,1,6,172,1,7_13_6_172_1,PI458506,China,Liaoning,2,Landrace,D,4,,,,48.26286074,21.58428932,26.67857143,1.159937888,1.508214398,1.065589868,1,3,2.383609416,70.56065476,0.190546177,63.04267282,12.12202403,32.54761905,13.6547619,56.63548753,20.23809524,5.5,0.271764706,0.558673469,762.6830357,32,36,33,6.130792942,4.20776644,1.794217687,0.0099,3,0.174016557,0.171517979,0.333711048,0.999433428,0.280256189,0.205665722,0.333711048,0.999433428,62,31.79166667
KGF_Rep7_SB13_Day6_172_2,Rep7_SB13_172_2,7,13,1,6,172,2,7_13_6_172_2,PI458506,China,Liaoning,2,Landrace,D,4,,,,54.06829949,20.02068044,34.04761905,1.30952381,2.07954998,1.29865716,1,4,3.069094304,84.45607143,0.209578474,81.47526424,12.29032364,39.13095238,12.75,53.01842404,18.5,5.464285714,0.295366795,0.62755102,859.8794643,26,33,31,6.454683957,4.591836735,1.702522676,0.0118,4,0.15506048,0.151665108,0.334152334,0.998894349,0.267104517,0.200539472,0.334152334,0.999078624,60,34.79166667
KGF_Rep1_SB1_Day6_198_1,Rep1_SB1_198_1,1,1,1,6,198,1,1_1_6_198_1,PI479713,China,Jilin,2,Landrace,N,6,,,,47.79826905,20.9909296,26.80733945,1.031051517,1.493695908,1.238630232,1,4,0.507551919,79.8787156,0.120270238,69.85713751,10.70431393,14.79816514,29.1559633,54.94461746,19.1559633,5.394495413,0.281609195,0.423365037,801.6731651,32,33,33,5.172155122,2.040484808,2.870802121,0.0077,4,0.345171287,0.261422203,0.389796976,0.999714734,0.385224318,0.234441116,0.393752674,0.99978605,,
KGF_Rep1_SB1_Day6_198_2,Rep1_SB1_198_2,1,1,1,6,198,2,1_1_6_198_2,PI479713,China,Jilin,2,Landrace,N,6,,,,53.91076425,19.60801196,34.30275229,1.071961009,2.073490933,1.631985949,1,6,0.276392449,92.344,0.131149879,96.03659152,11.67262571,10.88073394,39.36697248,51.77215723,17.42201835,5.963302752,0.342285413,0.474875852,893.2683486,26,37,37,6.300069439,1.932497265,4.154953287,0.0092,6,0.356854537,0.279609998,0.386400352,0.893936477,0.474900746,0.23012512,0.466634585,0.948989413,,
KGF_Rep2_SB3_Day6_198_1,Rep2_SB3_198_1,2,3,1,6,198,1,2_3_6_198_1,PI479713,China,Jilin,2,Landrace,N,6,,,,124.6990207,19.41746732,105.2815534,2.924487594,2.309241124,1.854000803,1,16,2.315485564,210.7471845,0.183854943,79.65731896,10.33506694,85.65048544,36.99029126,120.1997832,17.75728155,12.66019417,0.7129579,1.194834574,2222.018204,54,55,52,9.885180036,6.997172212,2.736921482,0.0099,16,0.261587547,0.211877895,0.382961803,0.854424414,0.379772004,0.169875194,0.434146341,0.926829268,90,62.33333333
KGF_Rep2_SB3_Day6_198_2,Rep2_SB3_198_2,2,3,1,6,198,2,2_3_6_198_2,PI479713,China,Jilin,2,Landrace,N,6,,,,140.6484071,18.61928087,122.0291262,4.358183079,2.511578698,1.503817478,1,20,2.935075653,168.2342136,0.194748958,98.62029085,10.94745394,103.5825243,35.29126214,101.1457253,15.81553398,11.98058252,0.757519951,1.35026864,2292.269417,56,54,54,10.88833773,8.138938637,2.610425111,0.0133,20,0.182709643,0.146977929,0.402396786,0.99880024,0.360613592,0.146697933,0.467793941,0.99880024,70,69.45833333
KGF_Rep3_SB5_Day6_198_1,Rep3_SB5_198_1,3,5,1,6,198,1,3_5_6_198_1,PI479713,China,Jilin,2,Landrace,N,6,,,,79.17957503,23.64957503,55.53,2.524090909,1.979489376,0.930249274,1,6,0.814043584,98.01987,0.180138737,146.3487376,15.50061815,33.62,41.3,89.7702,22.05,8,0.362811791,0.7757,1179.08125,40,35,37,9.369775,4.785,4.2054,0.0086,6,0.312578931,0.297945451,0.382653821,1,0.373719075,0.237872383,0.409141583,1,90,44.16666667
KGF_Rep3_SB5_Day6_198_2,Rep3_SB5_198_2,3,5,1,6,198,2,3_5_6_198_2,PI479713,China,Jilin,2,Landrace,N,6,,,,73.95805266,22.74805266,51.21,2.13375,2.175236843,1.055035363,1,6,1.764169639,101.11209,0.17237678,154.3830466,14.83271555,44.51,25.23,73.49175,20.59,7.1,0.344827586,0.7181,1162.73375,34,33,34,8.4026625,5.4896,2.6048,0.0098,6,0.287362887,0.270486613,0.377470242,1,0.367504022,0.240291795,0.393184145,1,90,44.95833333
KGF_Rep4_SB8_Day6_198_1,Rep4_SB8_198_1,4,8,2,6,198,1,4_8_6_198_1,PI479713,China,Jilin,2,Landrace,N,6,,,,137.4267211,19.65680955,117.7699115,2.560215467,2.748534421,2.340155958,1,19,2.792471521,204.1989381,0.158792711,223.0372708,15.2572312,99.78761062,35.73451327,122.7858877,17.73451327,13.50442478,0.761477046,1.199310831,2383.710177,50,65,61,11.29569661,8.593155298,2.59386013,0.0098,19,0.246185549,0.201498082,0.436126136,0.712189961,0.400515844,0.161515454,0.498634531,0.809571286,90,83.91666667
KGF_Rep4_SB8_Day6_198_2,Rep4_SB8_198_2,4,8,2,6,198,2,4_8_6_198_2,PI479713,China,Jilin,2,Landrace,N,6,,,,160.6502152,22.85375499,137.7964602,1.252695093,,,,18,1.349441891,278.7867699,0.204133804,110.3781812,13.35958032,90.9380531,67.38938053,177.6655572,20.82300885,15.08849558,0.724606885,1.40379043,2855.051991,56,135,121,12.12469653,7.288981126,4.674132665,0.0079,9,0.282680781,0.224213682,0.413067622,0.80971943,0.527763614,0.202909167,0.500797093,0.823859355,90,189.1666667
